Metadata:
Absolute time = 1744688199.2947414
Time since start = 3060.003320455551 seconds
Sample Rate: {'sample_rate': 609756.0975609756}

ch1,ch2,time
-0.0012212995206937194,-3.5967270884430036,-0.010000720000000001
0.0,-3.612603982212022,-0.009981040000000002
-0.0012212995206937194,-3.629702175501734,-0.00996136
-0.0012212995206937194,-3.64802166831214,-0.009941680000000001
-0.0012212995206937194,-3.663898562081158,-0.009922
-0.0012212995206937194,-3.6809967553708702,-0.009902320000000001
-0.0012212995206937194,-3.6980949486605823,-0.009882640000000002
-0.0012212995206937194,-3.7151931419502944,-0.00986296
-0.0012212995206937194,-3.7310700357193127,-0.009843280000000001
-0.0012212995206937194,-3.7493895285297185,-0.009823600000000002
-0.0012212995206937194,-3.765266422298737,-0.00980392
-0.0012212995206937194,-3.7811433160677552,-0.009784240000000001
-0.0012212995206937194,-3.799462808878161,-0.009764560000000002
-0.0012212995206937194,-3.8153397026471794,-0.009744880000000001
-0.0012212995206937194,-3.8324378959368914,-0.009725200000000002
-0.0012212995206937194,-3.8507573887472972,-0.00970552
-0.0012212995206937194,-3.8666342825163156,-0.009685840000000001
-0.0012212995206937194,-3.882511176285334,-0.009666160000000002
-0.0024425990413874388,-3.9008306690957397,-0.00964648
-0.0024425990413874388,-3.916707562864758,-0.009626800000000001
-0.003663898562081158,-3.93380575615447,-0.00960712
-0.003663898562081158,-3.952125248964876,-0.009587440000000001
-0.0024425990413874388,-3.9680021427338943,-0.009567760000000002
-0.0048851980827748775,-3.9851003360236064,-0.00954808
-0.006106497603468597,-4.000977229792625,-0.009528400000000001
-0.007327797124162316,-4.018075423082337,-0.009508720000000002
-0.01954079233109951,-4.036394915892743,-0.00948904
-0.0378602851415053,-4.051050510141067,-0.009469360000000001
-0.05740107747260481,-4.069370002951473,-0.009449680000000002
-0.07205667172092944,-4.084025597199798,-0.009430000000000001
-0.08915486501064152,-4.10112379048951,-0.009410320000000002
-0.11846605350729078,-4.121885882341303,-0.00939064
-0.14655594248324633,-4.135320177068934,-0.009370960000000001
-0.16609673481434584,-4.152418370358646,-0.009351280000000002
-0.18808012618683279,-4.170737863169052,-0.0093316
-0.2137274161214009,-4.18661475693807,-0.009311920000000001
-0.2332682084525004,-4.203712950227782,-0.00929224
-0.2454812036594376,-4.222032443038188,-0.009272560000000001
-0.22960430989041924,-4.237909336807206,-0.009252880000000002
-0.19052272522822022,-4.255007530096918,-0.0092332
-0.14777724200394005,-4.27210572338663,-0.009213520000000001
-0.10503175877965987,-4.2892039166763425,-0.009193840000000002
-0.07083537220023572,-4.305080810445361,-0.00917416
-0.047630681307055056,-4.322179003735073,-0.009154480000000001
-0.03297508705873042,-4.340498496545479,-0.009134800000000002
-0.02076209185179323,-4.357596689835191,-0.00911512
-0.014655594248324633,-4.373473583604209,-0.009095440000000002
-0.009770396165549755,-4.3893504773732275,-0.00907576
-0.007327797124162316,-4.407669970183633,-0.009056080000000001
-0.006106497603468597,-4.422325564431958,-0.009036400000000002
-0.0048851980827748775,-4.440645057242364,-0.00901672
-0.003663898562081158,-4.457743250532076,-0.008997040000000001
-0.003663898562081158,-4.474841443821788,-0.00897736
-0.003663898562081158,-4.490718337590806,-0.00895768
-0.003663898562081158,-4.507816530880518,-0.008938000000000001
-0.0024425990413874388,-4.52491472417023,-0.00891832
-0.0024425990413874388,-4.542012917459942,-0.008898640000000001
-0.0024425990413874388,-4.557889811228961,-0.008878960000000002
-0.0012212995206937194,-4.574988004518673,-0.00885928
-0.0012212995206937194,-4.593307497329079,-0.008839600000000001
-0.0024425990413874388,-4.610405690618791,-0.008819920000000002
-0.0024425990413874388,-4.627503883908503,-0.00880024
-0.0012212995206937194,-4.643380777677521,-0.008780560000000001
-0.0012212995206937194,-4.660478970967233,-0.00876088
-0.0012212995206937194,-4.677577164256945,-0.008741200000000001
-0.0012212995206937194,-4.693454058025964,-0.008721520000000002
-0.0024425990413874388,-4.710552251315676,-0.00870184
-0.0012212995206937194,-4.726429145084694,-0.008682160000000001
-0.0012212995206937194,-4.743527338374406,-0.00866248
-0.0024425990413874388,-4.760625531664118,-0.0086428
-0.0012212995206937194,-4.77772372495383,-0.008623120000000001
-0.0024425990413874388,-4.793600618722849,-0.00860344
0.0,-4.811920111533254,-0.008583760000000001
-0.0012212995206937194,-4.826575705781579,-0.008564080000000002
0.0,-4.844895198591985,-0.0085444
-0.0012212995206937194,-4.863214691402391,-0.008524720000000001
-0.0012212995206937194,-4.879091585171409,-0.008505040000000002
-0.0012212995206937194,-4.894968478940427,-0.00848536
-0.0012212995206937194,-4.914509271271527,-0.008465680000000001
-0.0012212995206937194,-4.9291648655198514,-0.008446
-0.0024425990413874388,-4.9462630588095635,-0.008426320000000001
0.0,-4.963361252099276,-0.008406640000000002
-0.0012212995206937194,-4.982902044430375,-0.00838696
-0.0012212995206937194,-4.9975576386787,-0.008367280000000001
-0.0012212995206937194,-5.002442836761475,-0.0083476
0.0,-5.002442836761475,-0.00832792
-0.0012212995206937194,-5.002442836761475,-0.008308240000000001
-0.0012212995206937194,-5.002442836761475,-0.00828856
-0.0012212995206937194,-5.002442836761475,-0.008268880000000001
-0.0012212995206937194,-5.002442836761475,-0.008249200000000002
-0.0012212995206937194,-5.002442836761475,-0.00822952
-0.0024425990413874388,-5.002442836761475,-0.008209840000000001
-0.0012212995206937194,-5.002442836761475,-0.008190160000000002
-0.0012212995206937194,-5.002442836761475,-0.00817048
-0.0012212995206937194,-5.002442836761475,-0.008150800000000001
-0.0012212995206937194,-5.002442836761475,-0.00813112
