Metadata:
Absolute time = 1744779707.3501015
Time since start = 2520.095631837845 seconds
Sample Rate: {'sample_rate': 609756.0975609756}

ch1,ch2,time
0.0,-2.1213972674449906,-0.010000720000000001
0.0,-2.137274161214009,-0.009981040000000002
0.0,-2.1519297554623336,-0.00996136
0.0,-2.166585349710658,-0.009941680000000001
0.0,-2.1824622434796765,-0.009922
0.0,-2.198339137248695,-0.009902320000000001
-0.0012212995206937194,-2.2129947314970195,-0.009882640000000002
-0.0012212995206937194,-2.228871625266038,-0.00986296
0.0,-2.24596981855575,-0.009843280000000001
-0.0012212995206937194,-2.2606254128040746,-0.009823600000000002
0.0,-2.275281007052399,-0.00980392
-0.0012212995206937194,-2.289936601300724,-0.009784240000000001
0.0,-2.3045921955490485,-0.009764560000000002
0.0,-2.320469089318067,-0.009744880000000001
0.0012212995206937194,-2.336345983087085,-0.009725200000000002
0.0,-2.35100157733541,-0.00970552
0.0,-2.3656571715837345,-0.009685840000000001
0.0,-2.381534065352753,-0.009666160000000002
0.0,-2.397410959121771,-0.00964648
0.0,-2.4132878528907895,-0.009626800000000001
0.0,-2.4303860461805016,-0.00960712
-0.0012212995206937194,-2.4425990413874388,-0.009587440000000001
-0.0012212995206937194,-2.4572546356357634,-0.009567760000000002
0.0,-2.4743528289254755,-0.00954808
-0.0012212995206937194,-2.490229722694494,-0.009528400000000001
0.0,-2.5036640174221247,-0.009508720000000002
-0.0012212995206937194,-2.519540911191143,-0.00948904
0.0,-2.5354178049601614,-0.009469360000000001
-0.0012212995206937194,-2.5525159982498735,-0.009449680000000002
0.0,-2.5659502929775044,-0.009430000000000001
-0.0012212995206937194,-2.580605887225829,-0.009410320000000002
0.0,-2.5964827809948474,-0.00939064
0.0,-2.6123596747638658,-0.009370960000000001
0.0,-2.6270152690121904,-0.009351280000000002
-0.0012212995206937194,-2.6404495637398213,-0.0093316
-0.0012212995206937194,-2.6575477570295334,-0.009311920000000001
0.0,-2.6734246507985517,-0.00929224
0.0,-2.685637646005489,-0.009272560000000001
-0.0012212995206937194,-2.7039571388158947,-0.009252880000000002
0.0,-2.7186127330642194,-0.0092332
-0.0012212995206937194,-2.7344896268332377,-0.009213520000000001
-0.0012212995206937194,-2.750366520602256,-0.009193840000000002
0.0,-2.763800815329887,-0.00917416
0.0,-2.780899008619599,-0.009154480000000001
-0.0012212995206937194,-2.7955546028679237,-0.009134800000000002
0.0,-2.811431496636942,-0.00911512
-0.0024425990413874388,-2.8273083904059604,-0.009095440000000002
-0.0012212995206937194,-2.8431852841749787,-0.00907576
-0.0012212995206937194,-2.8578408784233034,-0.009056080000000001
-0.0012212995206937194,-2.872496472671628,-0.009036400000000002
-0.0012212995206937194,-2.8883733664406464,-0.00901672
0.0,-2.903028960688971,-0.008997040000000001
-0.0012212995206937194,-2.9189058544579893,-0.00897736
-0.0012212995206937194,-2.933561448706314,-0.00895768
-0.0012212995206937194,-2.950659641996026,-0.008938000000000001
-0.0012212995206937194,-2.9665365357650444,-0.00891832
-0.0012212995206937194,-2.9799708304926753,-0.008898640000000001
-0.0012212995206937194,-2.9958477242616937,-0.008878960000000002
0.0,-3.0129459175514057,-0.00885928
0.0,-3.0263802122790366,-0.008839600000000001
-0.0012212995206937194,-3.0434784055687487,-0.008819920000000002
-0.0012212995206937194,-3.0569127002963796,-0.00880024
-0.0012212995206937194,-3.072789594065398,-0.008780560000000001
-0.0012212995206937194,-3.0874451883137226,-0.00876088
0.0,-3.103322082082741,-0.008741200000000001
-0.0012212995206937194,-3.1191989758517593,-0.008721520000000002
-0.0012212995206937194,-3.1350758696207777,-0.00870184
-0.0012212995206937194,-3.1497314638691023,-0.008682160000000001
-0.0012212995206937194,-3.1668296571588144,-0.00866248
-0.0012212995206937194,-3.1802639518864453,-0.0086428
-0.0012212995206937194,-3.19491954613477,-0.008623120000000001
0.0,-3.2107964399037883,-0.00860344
-0.0012212995206937194,-3.225452034152113,-0.008583760000000001
-0.0012212995206937194,-3.2413289279211313,-0.008564080000000002
-0.0012212995206937194,-3.255984522169456,-0.0085444
-0.0012212995206937194,-3.2718614159384742,-0.008524720000000001
-0.0012212995206937194,-3.2877383097074926,-0.008505040000000002
-0.0012212995206937194,-3.3023939039558172,-0.00848536
-0.0012212995206937194,-3.317049498204142,-0.008465680000000001
-0.0012212995206937194,-3.33292639197316,-0.008446
-0.0012212995206937194,-3.3488032857421786,-0.008426320000000001
-0.0012212995206937194,-3.3622375804698095,-0.008406640000000002
-0.0012212995206937194,-3.378114474238828,-0.00838696
-0.0012212995206937194,-3.393991368007846,-0.008367280000000001
-0.0012212995206937194,-3.4098682617768645,-0.0083476
-0.0012212995206937194,-3.424523856025189,-0.00832792
-0.0012212995206937194,-3.4416220493149012,-0.008308240000000001
-0.0024425990413874388,-3.455056344042532,-0.00828856
-0.003663898562081158,-3.472154537332244,-0.008268880000000001
-0.0012212995206937194,-3.4880314311012626,-0.008249200000000002
-0.0024425990413874388,-3.502687025349587,-0.00822952
-0.0024425990413874388,-3.517342619597912,-0.008209840000000001
-0.0024425990413874388,-3.5319982138462365,-0.008190160000000002
-0.0024425990413874388,-3.5490964071359485,-0.00817048
-0.003663898562081158,-3.563752001384273,-0.008150800000000001
-0.006106497603468597,-3.578407595632598,-0.00813112
-0.007327797124162316,-3.5930631898809224,-0.008111440000000001
-0.010991695686243474,-3.6101613831706345,-0.008091760000000002
-0.026868589455261827,-3.626038276939653,-0.00807208
-0.04518808226566762,-3.6394725716672838,-0.008052400000000001
-0.06228627555537969,-3.655349465436302,-0.00803272
